=== Starting input_projection ablation: no_feature_proj ===
Epoch  1/20 | Loss: 2.3399 | Accuracy: 0.4000 | F1: 0.3797 | MCC: 0.3999
Epoch  2/20 | Loss: 2.1593 | Accuracy: 0.4058 | F1: 0.3979 | MCC: 0.3798
Epoch  3/20 | Loss: 2.0240 | Accuracy: 0.4096 | F1: 0.4148 | MCC: 0.3829
Epoch  4/20 | Loss: 1.8478 | Accuracy: 0.4132 | F1: 0.3993 | MCC: 0.4173
Epoch  5/20 | Loss: 1.6064 | Accuracy: 0.4183 | F1: 0.4093 | MCC: 0.3948
Epoch  6/20 | Loss: 1.5280 | Accuracy: 0.4208 | F1: 0.4035 | MCC: 0.4204
Epoch  7/20 | Loss: 1.3762 | Accuracy: 0.4240 | F1: 0.4088 | MCC: 0.4131
Epoch  8/20 | Loss: 1.3330 | Accuracy: 0.4289 | F1: 0.4191 | MCC: 0.4150
Epoch  9/20 | Loss: 1.1649 | Accuracy: 0.4342 | F1: 0.4150 | MCC: 0.4257
Epoch 10/20 | Loss: 1.1365 | Accuracy: 0.4364 | F1: 0.4320 | MCC: 0.4178
Epoch 11/20 | Loss: 0.9529 | Accuracy: 0.4430 | F1: 0.4313 | MCC: 0.4237
Epoch 12/20 | Loss: 0.9665 | Accuracy: 0.4456 | F1: 0.4538 | MCC: 0.4476
Epoch 13/20 | Loss: 0.8463 | Accuracy: 0.4506 | F1: 0.4533 | MCC: 0.4347
Epoch 14/20 | Loss: 0.8324 | Accuracy: 0.4541 | F1: 0.4385 | MCC: 0.4349
Epoch 15/20 | Loss: 0.7981 | Accuracy: 0.4601 | F1: 0.4583 | MCC: 0.4661
Epoch 16/20 | Loss: 0.7233 | Accuracy: 0.4651 | F1: 0.4443 | MCC: 0.4538
Epoch 17/20 | Loss: 0.6000 | Accuracy: 0.4681 | F1: 0.4645 | MCC: 0.4847
Epoch 18/20 | Loss: 0.6242 | Accuracy: 0.4719 | F1: 0.4464 | MCC: 0.4560
Epoch 19/20 | Loss: 0.6000 | Accuracy: 0.4766 | F1: 0.4570 | MCC: 0.4835
Epoch 20/20 | Loss: 0.6000 | Accuracy: 0.4800 | F1: 0.4588 | MCC: 0.4615

=== Starting input_projection ablation: no_weight_proj ===
